llm_name,article_key,gold_epu,gold_who,gold_actions,gold_effects,gold_mention_foreign,gold_mainly_foreign,disagreement_flag,newspaper,year,content_len,condition,epu_pred,epu_correct,confidence,focus_excerpt,excerpt_in_target,json_valid,aux_mean,task_completion_count,who_pred,who_correct,who_present,actions_pred,actions_correct,actions_present,effects_pred,effects_correct,effects_present,mention_foreign_pred,mention_foreign_correct,mention_foreign_present,mainly_foreign_pred,mainly_foreign_correct,mainly_foreign_present
openai/gpt-5.4-2026-03-05,Current_1332,1,1,0,1,1,1,0,LAT,1998,7835,single_focus,1,1.0,0.72,the time may be right for Tokyo to intervene again to support the currency,1,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
openai/gpt-5.4-2026-03-05,Current_1332,1,1,0,1,1,1,0,LAT,1998,7835,multi_focus_epu_first,0,0.0,0.87,news that Russian President Boris N. Yeltsin had sacked his cabinet,1,1,0.6,5,0.0,0.0,1,0.0,1.0,1,0.0,0.0,1,1.0,1.0,1,1.0,1.0,1
openai/gpt-5.4-2026-03-05,Current_1332,1,1,0,1,1,1,0,LAT,1998,7835,multi_focus_epu_last,0,0.0,0.84,Yeltsin had sacked his cabinet,1,1,0.8,5,1.0,1.0,1,1.0,0.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1
openai/gpt-5.4-2026-03-05,Current_910,0,0,0,0,0,0,0,SFC,1998,6713,single_focus,0,1.0,0.95,"Naumann is uncertain about a second round of expansion, and he thinks that endless enlargement makes no sense",1,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
openai/gpt-5.4-2026-03-05,Current_910,0,0,0,0,0,0,0,SFC,1998,6713,multi_focus_epu_first,0,1.0,0.95,"Naumann is uncertain about a second round of expansion, and he thinks that endless enlargement makes no sense",1,1,0.0,5,-1.0,0.0,1,-1.0,0.0,1,-1.0,0.0,1,1.0,0.0,1,1.0,0.0,1
openai/gpt-5.4-2026-03-05,Current_910,0,0,0,0,0,0,0,SFC,1998,6713,multi_focus_epu_last,0,1.0,0.95,"Naumann is uncertain about a second round of expansion, and he thinks that endless enlargement makes no sense",1,1,0.6,5,0.0,1.0,1,0.0,1.0,1,0.0,1.0,1,1.0,0.0,1,1.0,0.0,1
openai/gpt-5.4-2026-03-05,Midcentury_7857,0,0,0,0,1,1,0,NYT,1999,4111,single_focus,0,1.0,0.88,"Mr. Zedillo, though, made it clear that he had no plans to abandon his policy of a virtually free-floating peso.",1,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
openai/gpt-5.4-2026-03-05,Midcentury_7857,0,0,0,0,1,1,0,NYT,1999,4111,multi_focus_epu_first,1,0.0,0.91,"Mr. Zedillo, though, made it clear that he had no plans to abandon his policy of a virtually free-floating peso.",1,1,0.4,5,0.0,1.0,1,1.0,0.0,1,1.0,0.0,1,1.0,1.0,1,0.0,0.0,1
openai/gpt-5.4-2026-03-05,Midcentury_7857,0,0,0,0,1,1,0,NYT,1999,4111,multi_focus_epu_last,0,1.0,0.85,continuing uncertainties about Latin America,1,1,1.0,5,0.0,1.0,1,0.0,1.0,1,0.0,1.0,1,1.0,1.0,1,1.0,1.0,1
openai/gpt-5.4-2026-03-05,Current_411,1,1,1,0,1,1,0,LAT,1993,9813,single_focus,1,1.0,0.9,they are heading home today uncertain whether the Clinton Administration will obtain an agreement with strong enough anti-dumping provisions,1,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
openai/gpt-5.4-2026-03-05,Current_411,1,1,1,0,1,1,0,LAT,1993,9813,multi_focus_epu_first,1,1.0,0.81,they are heading home today uncertain whether the Clinton Administration will obtain an agreement with strong enough anti-dumping provisions,1,1,0.8,5,0.0,0.0,1,1.0,1.0,1,0.0,1.0,1,1.0,1.0,1,1.0,1.0,1
openai/gpt-5.4-2026-03-05,Current_411,1,1,1,0,1,1,0,LAT,1993,9813,multi_focus_epu_last,1,1.0,0.88,they are heading home today uncertain whether the Clinton Administration will obtain an agreement with strong enough anti-dumping provisions,1,1,1.0,5,1.0,1.0,1,1.0,1.0,1,0.0,1.0,1,1.0,1.0,1,1.0,1.0,1
