llm_name,article_key,gold_epu,disagreement_flag,newspaper,year,content_len,orig_content_len,eval_content_len,was_truncated,condition,bundle,order,condition_kind,requested_task_count,epu_pred,epu_correct,confidence,focus_excerpt,excerpt_in_target,json_valid,parse_status,task_completion_count,completion_share,aux_mean,who_pred,who_correct,who_requested,who_present,actions_pred,actions_correct,actions_requested,actions_present,effects_pred,effects_correct,effects_requested,effects_present,mention_foreign_pred,mention_foreign_correct,mention_foreign_requested,mention_foreign_present,mainly_foreign_pred,mainly_foreign_correct,mainly_foreign_requested,mainly_foreign_present
anthropic/claude-sonnet-4-6@default,Midcentury_7569,1,0,NYT,1993,5832,5832,4989,1,single_focus,,,single,0,1.0,1.0,0.75,uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint.,0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Midcentury_7569,1,0,NYT,1993,5832,5832,4989,1,single_long_control,,,single_control,0,1.0,1.0,0.82,uncertainty over the fate of the Administration's budget and health plans is widely cited as a soaree of restraint.,0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Midcentury_7569,1,0,NYT,1993,5832,5832,4989,1,full_focus_epu_first,full,epu_first,multi,5,1.0,1.0,0.82,uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint.,0,1,ok,5,1.0,0.8,0.0,1.0,1,1,0.0,0.0,1,1,1.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1
anthropic/claude-sonnet-4-6@default,Midcentury_7569,1,0,NYT,1993,5832,5832,4989,1,full_focus_epu_last,full,epu_last,multi,5,1.0,1.0,0.85,uncertainty over the fate of the Administration's budget and health plans is widely cited as a source of restraint.,0,1,ok,5,1.0,0.8,1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1
anthropic/claude-sonnet-4-6@default,Current_840,1,1,DMNB,1995,3268,3268,3268,0,single_focus,,,single,0,1.0,1.0,0.72,uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach,0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_840,1,1,DMNB,1995,3268,3268,3268,0,single_long_control,,,single_control,0,1.0,1.0,0.75,"uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach, analysts said.",0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_840,1,1,DMNB,1995,3268,3268,3268,0,full_focus_epu_first,full,epu_first,multi,5,1.0,1.0,0.85,uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach,0,1,ok,5,1.0,0.6,1.0,0.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1
anthropic/claude-sonnet-4-6@default,Current_840,1,1,DMNB,1995,3268,3268,3268,0,full_focus_epu_last,full,epu_last,multi,5,1.0,1.0,0.85,"uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach, analysts said.",0,1,ok,5,1.0,0.6,1.0,0.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1
anthropic/claude-sonnet-4-6@default,Current_1795,0,0,SFC,2008,7887,7887,4989,1,single_focus,,,single,0,1.0,0.0,0.72,"Thanks to a new U.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the United States in 2008. Before the change in law, the Patriot Act had barred refugee status for those who had provided 'material support' to organizations on the State Department terrorist list.",0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_1795,0,0,SFC,2008,7887,7887,4989,1,single_long_control,,,single_control,0,1.0,0.0,0.72,"Before the change in law, the Patriot Act had barred refugee status for those who had provided 'material support' to organizations on the State Department terrorist list... In 2006, the Department of Homeland Security recognized that Burmese refugees were unlikely to be terrorists and waived the material support clause",0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_1795,0,0,SFC,2008,7887,7887,4989,1,full_focus_epu_first,full,epu_first,multi,5,1.0,0.0,0.65,"the change also makes Nid Paw and other refugees uncertain about the lives they will leave behind and the problems they will face with a different culture, language and educational system, and an economy that is likely to offer no better than a minimum-wage job",1,1,ok,5,1.0,0.4,0.0,1.0,1,1,0.0,1.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1
anthropic/claude-sonnet-4-6@default,Current_1795,0,0,SFC,2008,7887,7887,4989,1,full_focus_epu_last,full,epu_last,multi,5,1.0,0.0,0.6,"the change also makes Nid Paw and other refugees uncertain about the lives they will leave behind and the problems they will face with a different culture, language and educational system, and an economy that is likely to offer no better than a minimum-wage job",1,1,ok,5,1.0,0.4,0.0,1.0,1,1,0.0,1.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1
anthropic/claude-sonnet-4-6@default,Current_292,0,1,MIHB,1990,2734,2734,2734,0,single_focus,,,single,0,0.0,1.0,0.72,A united Germany will not and cannot remain neutral and will not forget its past,1,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_292,0,1,MIHB,1990,2734,2734,2734,0,single_long_control,,,single_control,0,1.0,0.0,0.7,"To ease the economic backlash on East Germany, West Germany plans to expand its Deutschmarks to the east, uniting the economies... But East Germany has to start to overcome its decades of socialist planned economy before West Germany can take that risk",0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_292,0,1,MIHB,1990,2734,2734,2734,0,full_focus_epu_first,full,epu_first,multi,5,1.0,0.0,0.72,"To ease the economic backlash on East Germany, West Germany plans to expand its Deutschmarks to the east, uniting the economies... But East Germany has to start to overcome its decades of socialist planned economy before West Germany can take that risk",0,1,ok,5,1.0,0.4,0.0,1.0,1,1,1.0,0.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1
anthropic/claude-sonnet-4-6@default,Current_292,0,1,MIHB,1990,2734,2734,2734,0,full_focus_epu_last,full,epu_last,multi,5,1.0,0.0,0.72,"A continuation of this stampede to the West could lead to the collapse of the East German economy with unpredictable political consequences. To ease the economic backlash on East Germany, West Germany plans to expand its Deutschmarks to the east, uniting the economies.",0,1,ok,5,1.0,0.4,0.0,1.0,1,1,1.0,0.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1
anthropic/claude-sonnet-4-6@default,Midcentury_6605,1,0,NYT,1985,9963,9963,4989,1,single_focus,,,single,0,1.0,1.0,0.92,"Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar? Will taxes be raised and, if so, how will the increased burden be distributed?",0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Midcentury_6605,1,0,NYT,1985,9963,9963,4989,1,single_long_control,,,single_control,0,1.0,1.0,0.95,"Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar? Will taxes be raised and, if so, how will the increased burden be distributed?",0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Midcentury_6605,1,0,NYT,1985,9963,9963,4989,1,full_focus_epu_first,full,epu_first,multi,5,1.0,1.0,0.95,"Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar? Will taxes be raised and, if so, how will the increased burden be distributed?",0,1,ok,5,1.0,0.8,1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.0,1.0,1,1
anthropic/claude-sonnet-4-6@default,Midcentury_6605,1,0,NYT,1985,9963,9963,4989,1,full_focus_epu_last,full,epu_last,multi,5,1.0,1.0,0.92,"Will Congress, for example, find the will to cut Federal spending, which in turn would tend to reduce the budget deficit, interest rates and perhaps even the international value of the dollar? Will taxes be raised and, if so, how will the increased burden be distributed?",0,1,ok,5,1.0,0.8,1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.0,1.0,1,1
anthropic/claude-sonnet-4-6@default,Midcentury_7618,1,0,NYT,2001,7843,7843,4989,1,single_focus,,,single,0,1.0,1.0,0.85,Mr. Bush presided over a conference in Austin to promote the tax cuts Mr. Lindsey has designed as a way to protect the nation against an economic slump,0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Midcentury_7618,1,0,NYT,2001,7843,7843,4989,1,single_long_control,,,single_control,0,1.0,1.0,0.92,Mr. Bush presided over a conference in Austin to promote the tax cuts Mr. Lindsey has designed as a way to protect the nation against an economic slump,0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Midcentury_7618,1,0,NYT,2001,7843,7843,4989,1,full_focus_epu_first,full,epu_first,multi,5,1.0,1.0,0.92,"Mr. Lindsey shaped the proposals for a $1.6 trillion tax cut, a Social Security overhaul and other core issues in Mr. Bush's campaign.",0,1,ok,5,1.0,0.4,1.0,1.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,1.0,1,1
anthropic/claude-sonnet-4-6@default,Midcentury_7618,1,0,NYT,2001,7843,7843,4989,1,full_focus_epu_last,full,epu_last,multi,5,1.0,1.0,0.92,"President-elect George W. Bush named Mr. Lindsey, 46, as his White House economic adviser...The appointment came the same day Mr. Bush presided over a conference in Austin to promote the tax cuts Mr. Lindsey has designed as a way to protect the nation against an economic slump",0,1,ok,5,1.0,0.4,1.0,1.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,1.0,1,1
anthropic/claude-sonnet-4-6@default,Current_79,0,0,LAT,2007,15467,15467,4989,1,single_focus,,,single,0,0.0,1.0,0.95,the standoff between Levi Eshkol and his generals was as much cultural as strategic,0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_79,0,0,LAT,2007,15467,15467,4989,1,single_long_control,,,single_control,0,0.0,1.0,0.9,the standoff between Levi Eshkol and his generals was as much cultural as strategic,0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_79,0,0,LAT,2007,15467,15467,4989,1,full_focus_epu_first,full,epu_first,multi,5,0.0,1.0,0.95,"In concluding that Israel's 'only achievement was actually winning the war,' Segev goes too far. Yet in demonstrating the problematic nature of the Six-Day War's origins and aftermath, he raises a host of large questions that touch on national identity, personal ambition, civilian-military politics and the elusive utility of force.",0,1,ok,0,0.0,0.0,,0.0,1,0,,0.0,1,0,,0.0,1,0,,0.0,1,0,,0.0,1,0
anthropic/claude-sonnet-4-6@default,Current_79,0,0,LAT,2007,15467,15467,4989,1,full_focus_epu_last,full,epu_last,multi,5,0.0,1.0,0.92,"In concluding that Israel's 'only achievement was actually winning the war,' Segev goes too far. Yet in demonstrating the problematic nature of the Six-Day War's origins and aftermath, he raises a host of large questions that touch on national identity, personal ambition, civilian-military politics and the elusive utility of force.",0,1,ok,2,0.4,0.0,,0.0,1,0,,0.0,1,0,,0.0,1,0,1.0,0.0,1,1,1.0,0.0,1,1
anthropic/claude-sonnet-4-6@default,Midcentury_8077,0,0,WPO,1994,3811,3811,3811,0,single_focus,,,single,0,1.0,0.0,0.55,The European Union's representative in the United States called for a new transatlantic free-trade agreement to meet the challenge of moves toward free trade in the Pacific region.,0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Midcentury_8077,0,0,WPO,1994,3811,3811,3811,0,single_long_control,,,single_control,0,0.0,1.0,0.85,called for a new transatlantic free-trade agreement to meet the challenge of moves toward free trade in the Pacific region,0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Midcentury_8077,0,0,WPO,1994,3811,3811,3811,0,full_focus_epu_first,full,epu_first,multi,5,1.0,0.0,0.5,The European Union's representative in the United States called for a new transatlantic free-trade agreement to meet the challenge of moves toward free trade in the Pacific region.,0,1,ok,5,1.0,0.4,0.0,1.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,1.0,1,1
anthropic/claude-sonnet-4-6@default,Midcentury_8077,0,0,WPO,1994,3811,3811,3811,0,full_focus_epu_last,full,epu_last,multi,5,0.0,1.0,0.82,continuing uncertainty over what BCCI assets are left. The bank was shut down in 1991 following discovery of the world's biggest-ever banking fraud.,0,1,ok,2,0.4,0.2,,0.0,1,0,,0.0,1,0,,0.0,1,0,1.0,0.0,1,1,0.0,1.0,1,1
anthropic/claude-sonnet-4-6@default,Current_654,0,0,SFC,2000,6665,6665,4989,1,single_focus,,,single,0,1.0,0.0,0.55,"Christine Callies, chief investment strategist at Credit Suisse First Boston in New York, expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting.",1,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_654,0,0,SFC,2000,6665,6665,4989,1,single_long_control,,,single_control,0,1.0,0.0,0.55,"Christine Callies, chief investment strategist at Credit Suisse First Boston in New York, expects the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting.",1,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Current_654,0,0,SFC,2000,6665,6665,4989,1,full_focus_epu_first,full,epu_first,multi,5,1.0,0.0,0.6,the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting,1,1,ok,5,1.0,0.4,0.0,1.0,1,1,0.0,1.0,1,1,1.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1
anthropic/claude-sonnet-4-6@default,Current_654,0,0,SFC,2000,6665,6665,4989,1,full_focus_epu_last,full,epu_last,multi,5,1.0,0.0,0.6,the market to remain turbulent until a clear direction for interest rates emerges from next month's Federal Reserve meeting,1,1,ok,5,1.0,0.4,0.0,1.0,1,1,0.0,1.0,1,1,1.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1
anthropic/claude-sonnet-4-6@default,Midcentury_4968,1,0,WPO,1989,6209,6209,4989,1,single_focus,,,single,0,1.0,1.0,0.82,the feeling of uncertainty over the future of China's economic liberalization program and the unwillingness of business to make new investments in China are accelerating the decline there,0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Midcentury_4968,1,0,WPO,1989,6209,6209,4989,1,single_long_control,,,single_control,0,1.0,1.0,0.82,The feeling of uncertainty over the future of China's economic liberalization program and the unwillingness of business to make new investments in China are accelerating the decline there.,0,1,ok,0,,,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0,,0.0,0,0
anthropic/claude-sonnet-4-6@default,Midcentury_4968,1,0,WPO,1989,6209,6209,4989,1,full_focus_epu_first,full,epu_first,multi,5,1.0,1.0,0.82,The feeling of uncertainty over the future of China's economic liberalization program and the unwillingness of business to make new investments in China are accelerating the decline there.,0,1,ok,5,1.0,0.8,0.0,1.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1
anthropic/claude-sonnet-4-6@default,Midcentury_4968,1,0,WPO,1989,6209,6209,4989,1,full_focus_epu_last,full,epu_last,multi,5,1.0,1.0,0.82,The feeling of uncertainty over the future of China's economic liberalization program and the unwillingness of business to make new investments in China are accelerating the decline there.,0,1,ok,5,1.0,0.6,1.0,0.0,1,1,1.0,1.0,1,1,1.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1
