article_key,llm_name,gold_epu,disagreement_flag,single_acc,single_long_control_acc,primary_first_acc,primary_last_acc,primary_first_pred,primary_last_pred,order_flip
Midcentury_7569,anthropic/claude-sonnet-4-6@default,1,0,1.0,1.0,1.0,1.0,1.0,1,0
Current_840,anthropic/claude-sonnet-4-6@default,1,1,1.0,1.0,1.0,1.0,1.0,1,0
Current_1795,anthropic/claude-sonnet-4-6@default,0,0,0.0,0.0,0.0,0.0,1.0,1,0
Current_292,anthropic/claude-sonnet-4-6@default,0,1,1.0,0.0,0.0,0.0,1.0,1,0
Midcentury_6605,anthropic/claude-sonnet-4-6@default,1,0,1.0,1.0,1.0,1.0,1.0,1,0
Midcentury_7618,anthropic/claude-sonnet-4-6@default,1,0,1.0,1.0,1.0,1.0,1.0,1,0
Current_79,anthropic/claude-sonnet-4-6@default,0,0,1.0,1.0,1.0,1.0,0.0,0,0
Midcentury_8077,anthropic/claude-sonnet-4-6@default,0,0,0.0,1.0,0.0,1.0,1.0,0,1
Current_654,anthropic/claude-sonnet-4-6@default,0,0,0.0,0.0,0.0,0.0,1.0,1,0
Midcentury_4968,anthropic/claude-sonnet-4-6@default,1,0,1.0,1.0,1.0,1.0,1.0,1,0
Current_1196,anthropic/claude-sonnet-4-6@default,1,1,1.0,1.0,1.0,1.0,1.0,1,0
Current_1953,anthropic/claude-sonnet-4-6@default,1,0,1.0,1.0,1.0,1.0,1.0,1,0
Current_733,anthropic/claude-sonnet-4-6@default,0,0,1.0,1.0,1.0,1.0,0.0,0,0
Current_1975,anthropic/claude-sonnet-4-6@default,1,0,0.0,1.0,1.0,1.0,1.0,1,0
Current_814,anthropic/claude-sonnet-4-6@default,1,1,1.0,1.0,1.0,1.0,1.0,1,0
Current_1650,anthropic/claude-sonnet-4-6@default,1,1,0.0,0.0,0.0,0.0,0.0,0,0
Midcentury_1448,anthropic/claude-sonnet-4-6@default,0,0,0.0,0.0,0.0,0.0,1.0,1,0
Current_1898,anthropic/claude-sonnet-4-6@default,0,0,1.0,1.0,1.0,1.0,0.0,0,0
Current_125,anthropic/claude-sonnet-4-6@default,1,0,1.0,1.0,1.0,1.0,1.0,1,0
Current_32,anthropic/claude-sonnet-4-6@default,1,1,0.0,0.0,0.0,0.0,0.0,0,0
Midcentury_7951,anthropic/claude-sonnet-4-6@default,0,0,1.0,1.0,1.0,1.0,0.0,0,0
Current_523,anthropic/claude-sonnet-4-6@default,1,1,1.0,1.0,1.0,1.0,1.0,1,0
Current_1945,anthropic/claude-sonnet-4-6@default,0,0,0.0,0.0,0.0,0.0,1.0,1,0
Current_199,anthropic/claude-sonnet-4-6@default,1,1,0.0,0.0,0.0,0.0,0.0,0,0
Current_1857,anthropic/claude-sonnet-4-6@default,1,0,1.0,1.0,1.0,1.0,1.0,1,0
Current_411,anthropic/claude-sonnet-4-6@default,1,0,1.0,1.0,1.0,1.0,1.0,1,0
Current_689,anthropic/claude-sonnet-4-6@default,0,0,1.0,1.0,1.0,1.0,0.0,0,0
Current_1424,anthropic/claude-sonnet-4-6@default,1,0,1.0,1.0,1.0,1.0,1.0,1,0
Current_1608,anthropic/claude-sonnet-4-6@default,1,0,0.0,0.0,1.0,0.0,1.0,0,1
Current_38,anthropic/claude-sonnet-4-6@default,0,0,0.0,0.0,0.0,0.0,1.0,1,0
Current_1502,anthropic/claude-sonnet-4-6@default,1,0,0.0,0.0,0.0,0.0,0.0,0,0
Current_892,anthropic/claude-sonnet-4-6@default,1,0,0.0,0.0,1.0,1.0,1.0,1,0
Current_1552,anthropic/claude-sonnet-4-6@default,1,0,1.0,1.0,1.0,1.0,1.0,1,0
Current_882,anthropic/claude-sonnet-4-6@default,1,1,1.0,1.0,1.0,1.0,1.0,1,0
Current_1209,anthropic/claude-sonnet-4-6@default,0,0,1.0,1.0,0.0,1.0,1.0,0,1
Current_34,anthropic/claude-sonnet-4-6@default,1,1,0.0,0.0,0.0,0.0,0.0,0,0
Current_1157,anthropic/claude-sonnet-4-6@default,0,1,0.0,0.0,0.0,0.0,1.0,1,0
Midcentury_2037,anthropic/claude-sonnet-4-6@default,0,0,1.0,1.0,1.0,1.0,0.0,0,0
Current_100,anthropic/claude-sonnet-4-6@default,0,1,1.0,1.0,1.0,1.0,0.0,0,0
Current_501,anthropic/claude-sonnet-4-6@default,1,1,0.0,0.0,0.0,0.0,0.0,0,0
Current_320,anthropic/claude-sonnet-4-6@default,1,0,1.0,0.0,1.0,0.0,1.0,0,1
Current_191,anthropic/claude-sonnet-4-6@default,0,0,1.0,1.0,1.0,1.0,0.0,0,0
Current_134,anthropic/claude-sonnet-4-6@default,1,1,0.0,0.0,0.0,0.0,0.0,0,0
Midcentury_6247,anthropic/claude-sonnet-4-6@default,0,0,0.0,0.0,0.0,0.0,1.0,1,0
Current_868,anthropic/claude-sonnet-4-6@default,0,0,0.0,0.0,0.0,0.0,1.0,1,0
Current_1447,anthropic/claude-sonnet-4-6@default,0,0,1.0,1.0,1.0,1.0,0.0,0,0
Current_438,anthropic/claude-sonnet-4-6@default,0,0,1.0,1.0,0.0,0.0,1.0,1,0
Midcentury_8062,anthropic/claude-sonnet-4-6@default,0,0,0.0,0.0,0.0,0.0,1.0,1,0
