llm_name,article_key,gold_epu,disagreement_flag,newspaper,year,content_len,condition,target_section_id,selected_section_id,target_position,n_sections,selected_target_correct,epu_pred,epu_correct,joint_correct,confidence,focus_excerpt,excerpt_in_target,json_valid
google/gemini-2.5-flash,Current_1373,0,0,MIHB,2006,7085,easy,S2,S2,2,3,1,0.0,1.0,1,0.95,Trying to figure out which disappeared with more finality last week The isniversity of Miami men's basketball team's NCAA Tournament hopes? Or Pokey Reese?,1,1
google/gemini-2.5-flash,Current_1373,0,0,MIHB,2006,7085,medium,S3,S3,3,5,1,0.0,1.0,1,0.95,"Coach Frank Haith focused on the unfairness of only four ACC teams likely getting in, saying, ``For us not to have five or six from our league is crazy.''. * NFL owners meeting in Dallas today will vote to ratify or reject a new labor agreement with ",0,1
google/gemini-2.5-flash,Current_1373,0,0,MIHB,2006,7085,hard,S4,S4,5,4,1,0.0,1.0,1,0.95,NFL owners meeting in Dallas today will vote to ratify or reject a new labor agreement with the players. ... Teams awaiting the labor resolution might be forced to make further cuts to get under the salary cap without a new agreement,0,1
google/gemini-2.5-flash,Current_1373,0,0,MIHB,2006,7085,very_hard,S8,S8,8,8,1,0.0,1.0,1,1.0,Warning: Persons who have read the preceding paragraph concerning revenue sharing... * Teams awaiting the labor resolution might be forced to make further cuts...,0,1
google/gemini-2.5-flash,Current_319,1,1,MIHB,1990,5383,easy,S2,S2,2,3,1,0.0,0.0,0,0.95,And some people familiar with the industry say the impact of a recession would be impossible to avoid. 'A severe recession will have an impact on the cruise industry because vacations are luxury items and in a recession they can be curtailed',0,1
google/gemini-2.5-flash,Current_319,1,1,MIHB,1990,5383,medium,S3,S3,3,5,1,0.0,0.0,0,1.0,But travel agents who sell tickets for cruise ships say they have never see steeper discounting. Smaller cruise lines say they can clearly see a downturn. And some people familiar with the industry say the impact of a recession would be impossible to,1,1
google/gemini-2.5-flash,Current_319,1,1,MIHB,1990,5383,hard,S5,S5,5,6,1,0.0,0.0,0,0.95,A severe recession will have an impact on the cruise industry because vacations are luxury items and in a recession they can be curtailed.,0,1
google/gemini-2.5-flash,Current_319,1,1,MIHB,1990,5383,very_hard,S8,S8,8,8,1,0.0,0.0,0,0.95,A severe recession will have an impact on the cruise industry because vacations are luxury items and in a recession they can be curtailed,1,1
google/gemini-2.5-flash,Current_861,1,0,SFC,2003,15056,easy,S2,S2,2,3,1,1.0,1.0,1,0.95,The searchlight flap is just one of many signs of a ltoming backlash against California's latest gold rush: Indian gaming.,1,1
google/gemini-2.5-flash,Current_861,1,0,SFC,2003,15056,medium,S3,S3,3,5,1,1.0,1.0,1,0.95,"The searchlight flap is just one of many signs of a ltoming backlash against California's latest gold rush: Indian gaming. In the brave new world of Native American casinos, local communities across the state are butting heads with tribes over issues",1,1
google/gemini-2.5-flash,Current_861,1,0,SFC,2003,15056,hard,S5,S5,5,6,1,1.0,1.0,1,0.95,"State and local regulators felt powerless, even though the Hopland Band of Pomo Indians had vowed to use minimal lighting... In the latest twist, Sen. Barbara Boxer, D-Greenbrae, is caught in the public furor over a tribe's plans to build a Nevada-st",0,1
google/gemini-2.5-flash,Current_861,1,0,SFC,2003,15056,very_hard,S8,S8,8,8,1,1.0,1.0,1,0.95,"The searchlight flap is just one of many signs of a looming backlash against California's latest gold rush: Indian gaming. In the brave new world of Native American casinos, local communities across the state are butting heads with tribes over issues",0,1
google/gemini-2.5-flash,Current_826,0,1,MIHB,2000,3271,easy,S2,S2,2,3,1,0.0,1.0,1,0.95,"Big Blue gave financial markets the blues Wednesday, when a horribly disappointing earnings report for IBM, combined with a serious inflation scare, knocked stocks cold at the opening bell. The Dow Jones industrial average... fell 438 points shortly ",0,1
google/gemini-2.5-flash,Current_826,0,1,MIHB,2000,3271,medium,S3,S3,3,5,1,0.0,1.0,1,0.98,"sales were up 40 percent for rival computer maker Sun Microsystems. The Dow later recovered, but IBM didn't. ... It was the first time since March that the Dow fell below 10,000 - considered a psychological level whose breach suggests investors are r",0,1
google/gemini-2.5-flash,Current_826,0,1,MIHB,2000,3271,hard,S5,S5,5,6,1,0.0,1.0,1,0.95,"It was the first time since March that the Dow fell below 10,000 - considered a psychological level whose breach suggests investors are reducing their expectations, perhaps portending further declines, analysts say. ... ``Should investors buy the sto",0,1
google/gemini-2.5-flash,Current_826,0,1,MIHB,2000,3271,very_hard,S8,S8,8,8,1,0.0,1.0,1,0.98,"The Dow Jones industrial average, the widely watched market index, fell 438 points shortly into the trading day, after IBM... The company, which in earlier generations was considered an unassailable technology leader, was downgraded by a slew of anal",0,1
google/gemini-2.5-flash,Current_836,0,0,MIHB,2003,4294,easy,S2,S2,2,3,1,1.0,0.0,0,0.8,"Now, as the state hosts the nine Democratic presidential candidates for tonight's first formal debate, things appear no different - although whether the flag will morph into a bona-fide campaign issue is uncertain.",1,1
google/gemini-2.5-flash,Current_836,0,0,MIHB,2003,4294,medium,S3,S3,3,5,1,1.0,0.0,0,1.0,More than 140 years after the Confederate flag waved over the South Carolina statehouse - even three years after it was moved to a less prominent post - the flag remains a troublesome issue for national presidential candidates who stump in the state.,1,1
google/gemini-2.5-flash,Current_836,0,0,MIHB,2003,4294,hard,S5,S5,5,6,1,1.0,0.0,0,0.95,"the NAACP to launch an economic and tourism boycott of the state that will host the South's first primary, Feb. 3.",1,1
google/gemini-2.5-flash,Current_836,0,0,MIHB,2003,4294,very_hard,S8,S8,8,8,1,1.0,0.0,0,0.9,the NAACP to launch an economic and tourism boycott of the state... although whether the flag will morph into a bona-fide campaign issue is uncertain.,0,1
google/gemini-2.5-flash,Current_1795,0,0,SFC,2008,7887,easy,S2,S2,2,3,1,0.0,1.0,1,0.95,"Thanks to a new is.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the isnited States in 2008. Before the change in law, the Patriot Act had barred refugee status for those who had provided ""material support"" to",1,1
google/gemini-2.5-flash,Current_1795,0,0,SFC,2008,7887,medium,S3,S3,3,5,1,0.0,1.0,1,0.95,"A Burmese refugee who identifies herself as Nid Paw unwraps a toy with her son, Saw, in their apartment in Mae Sot, Thailand. ... The Burmese government's destruction of her village, her forced relocation to a refugee camp in Thailand and threats of ",0,1
google/gemini-2.5-flash,Current_1795,0,0,SFC,2008,7887,hard,S5,S5,5,6,1,0.0,1.0,1,0.95,"A Burmese refugee who identifies herself as Nid Paw unwraps a toy with her son, Saw, in their apartment in Mae Sot, Thailand. ... Nid Paw, 28, who asked that her real name not be used because she is an illegal immigrant.",0,1
google/gemini-2.5-flash,Current_1795,0,0,SFC,2008,7887,very_hard,S8,S8,8,8,1,0.0,1.0,1,0.95,"Thanks to a new is.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the isnited States in 2008. Before the change in law, the Patriot Act had barred refugee status for those who had provided ""material support"" to",1,1
