llm_name,article_key,gold_epu,disagreement_flag,newspaper,year,content_len,condition,target_section_id,selected_section_id,target_position,n_sections,selected_target_correct,epu_pred,epu_correct,joint_correct,confidence,focus_excerpt,excerpt_in_target,json_valid
google/gemini-3.1-pro-preview,Current_1373,0,0,MIHB,2006,7085,easy,S2,S2,2,3,1,0,1.0,1,1.0,Trying to figure out which disappeared with more finality last week The isniversity of Miami men's basketball team's NCAA Tournament hopes? Or Pokey Reese?,1,1
google/gemini-3.1-pro-preview,Current_1373,0,0,MIHB,2006,7085,medium,S3,S3,3,5,1,0,1.0,1,1.0,NFL owners meeting in Dallas today will vote to ratify or reject a new labor agreement with the players.,1,1
google/gemini-3.1-pro-preview,Current_1373,0,0,MIHB,2006,7085,hard,S4,S4,5,4,1,0,1.0,1,1.0,NFL owners meeting in Dallas today will vote to ratify or reject a new labor agreement with the players.,1,1
google/gemini-3.1-pro-preview,Current_1373,0,0,MIHB,2006,7085,very_hard,S8,S8,8,8,1,0,1.0,1,1.0,NFL owners meeting in Dallas today will vote to ratify or reject a new labor agreement with the players. Warning: Persons who have read the preceding paragraph concerning revenue sharing,1,1
google/gemini-3.1-pro-preview,Current_319,1,1,MIHB,1990,5383,easy,S2,S2,2,3,1,0,0.0,0,1.0,And some people familiar with the industry say the impact of a recession would be impossible to avoid.,1,1
google/gemini-3.1-pro-preview,Current_319,1,1,MIHB,1990,5383,medium,S3,S3,3,5,1,0,0.0,0,1.0,All three say recessionary signs are at barely detectable levels and report that passenger counts are up over last year. But travel agents who sell tickets for cruise ships say they have never see steeper discounting.,1,1
google/gemini-3.1-pro-preview,Current_319,1,1,MIHB,1990,5383,hard,S5,S5,5,6,1,0,0.0,0,1.0,A severe recession will have an impact on the cruise industry because vacations are luxury items and in a recession they can be curtailed,1,1
google/gemini-3.1-pro-preview,Current_319,1,1,MIHB,1990,5383,very_hard,S8,S8,8,8,1,0,0.0,0,1.0,A severe recession will have an impact on the cruise industry because vacations are luxury items and in a recession they can be curtailed,1,1
google/gemini-3.1-pro-preview,Current_861,1,0,SFC,2003,15056,easy,S2,S2,2,3,1,0,0.0,0,0.95,"local communities across the state are butting heads with tribes over issues of sovereignty, ethics, regulatory power and Big Money.",1,1
google/gemini-3.1-pro-preview,Current_861,1,0,SFC,2003,15056,medium,S3,S3,3,5,1,0,0.0,0,0.9,The searchlight flap is just one of many signs of a looming backlash against California's latest gold rush: Indian gaming.,0,1
