llm_name,article_key,gold_epu,disagreement_flag,newspaper,year,content_len,condition,target_section_id,selected_section_id,target_position,n_sections,selected_target_correct,epu_pred,epu_correct,joint_correct,confidence,focus_excerpt,excerpt_in_target,json_valid
openai/gpt-5.4-2026-03-05,Current_1373,0,0,MIHB,2006,7085,easy,S2,S2,2,3,1,0,1.0,1,0.99,Trying to figure out which disappeared with more finality last week The university of Miami men's basketball team's NCAA Tournament hopes? Or Pokey Reese?,0,1
openai/gpt-5.4-2026-03-05,Current_1373,0,0,MIHB,2006,7085,medium,S3,S3,3,5,1,0,1.0,1,0.97,NFL owners meeting in Dallas today will vote to ratify or reject a new labor agreement with the players.,1,1
openai/gpt-5.4-2026-03-05,Current_1373,0,0,MIHB,2006,7085,hard,S4,S4,5,4,1,1,0.0,0,0.72,NFL owners meeting in Dallas today will vote to ratify or reject a new labor agreement with the players.,1,1
openai/gpt-5.4-2026-03-05,Current_1373,0,0,MIHB,2006,7085,very_hard,S8,S8,8,8,1,1,0.0,0,0.98,NFL owners meeting in Dallas today will vote to ratify or reject a new labor agreement with the players. Warning: Persons who have read the preceding paragraph,1,1
openai/gpt-5.4-2026-03-05,Current_319,1,1,MIHB,1990,5383,easy,S2,S2,2,3,1,0,0.0,0,0.99,some cruise-line executives find it hard to imagine that times will ever get tough... some people familiar with the industry say the impact of a recession would be impossible to avoid,0,1
openai/gpt-5.4-2026-03-05,Current_319,1,1,MIHB,1990,5383,medium,S3,S3,3,5,1,0,0.0,0,0.99,travel agents who sell tickets for cruise ships say they have never see steeper discounting. Smaller cruise lines say they can clearly see a downturn.,1,1
openai/gpt-5.4-2026-03-05,Current_319,1,1,MIHB,1990,5383,hard,S5,S5,5,6,1,0,0.0,0,0.99,some people familiar with the industry say the impact of a recession would be impossible to avoid,1,1
openai/gpt-5.4-2026-03-05,Current_319,1,1,MIHB,1990,5383,very_hard,S8,S8,8,8,1,0,0.0,0,0.99,A severe recession will have an impact on the cruise industry because vacations are luxury items and in a recession they can be curtailed,1,1
openai/gpt-5.4-2026-03-05,Current_861,1,0,SFC,2003,15056,easy,S2,S2,2,3,1,0,0.0,0,0.99,"Home of the San Francisco Chronicle Subscribe to the weekend Chronicle Jim Doyle, Chronicle Staff Writer",1,1
openai/gpt-5.4-2026-03-05,Current_861,1,0,SFC,2003,15056,medium,S3,S3,3,5,1,1,1.0,1,0.98,"State and local regulators felt powerless... local communities across the state are butting heads with tribes over issues of sovereignty, ethics, regulatory power",0,1
openai/gpt-5.4-2026-03-05,Current_861,1,0,SFC,2003,15056,hard,S5,S5,5,6,1,1,1.0,1,0.98,"State and local regulators felt powerless, even though the Hopland Band of Pomo Indians had vowed to use minimal lighting",1,1
openai/gpt-5.4-2026-03-05,Current_861,1,0,SFC,2003,15056,very_hard,S8,S8,8,8,1,1,1.0,1,0.99,The searchlight flap is just one of many signs of a looming backlash against California's latest gold rush: Indian gaming.,0,1
openai/gpt-5.4-2026-03-05,Current_826,0,1,MIHB,2000,3271,easy,S2,S2,2,3,1,0,1.0,1,0.99,Big Blue gave financial markets the blues Wednesday ... quarterly sales had risen just 3 percent ... The Dow Jones industrial average ... fell 438 points,0,1
openai/gpt-5.4-2026-03-05,Current_826,0,1,MIHB,2000,3271,medium,S3,S3,3,5,1,0,1.0,1,0.99,"It was the first time since March that the Dow fell below 10,000 - considered a psychological level whose breach suggests investors are reducing their expectations, perhaps portending further declines, analysts say.",1,1
openai/gpt-5.4-2026-03-05,Current_826,0,1,MIHB,2000,3271,hard,S5,S5,5,6,1,0,1.0,1,0.97,"The company, which in earlier generations was considered an unassailable technology leader, was downgraded by a slew of analysts",1,1
openai/gpt-5.4-2026-03-05,Current_826,0,1,MIHB,2000,3271,very_hard,S8,S8,8,8,1,0,1.0,1,0.98,"The company, which in earlier generations was considered an unassailable technology leader",1,1
openai/gpt-5.4-2026-03-05,Current_836,0,0,MIHB,2003,4294,easy,S2,S2,2,3,1,0,1.0,1,0.98,the flag remains a troublesome issue for national presidential candidates who stump in the state,1,1
openai/gpt-5.4-2026-03-05,Current_836,0,0,MIHB,2003,4294,medium,S3,S3,3,5,1,0,1.0,1,0.99,More than 140 years after the Confederate flag waved over the South Carolina statehouse ... the flag remains a troublesome issue,0,1
openai/gpt-5.4-2026-03-05,Current_836,0,0,MIHB,2003,4294,hard,S5,S5,5,6,1,0,1.0,1,0.99,prompting the NAACP to launch an economic and tourism boycott of the state,1,1
openai/gpt-5.4-2026-03-05,Current_836,0,0,MIHB,2003,4294,very_hard,S8,S8,8,8,1,0,1.0,1,0.98,prompting the NAACP to launch an economic and tourism boycott of the state,1,1
openai/gpt-5.4-2026-03-05,Current_1795,0,0,SFC,2008,7887,easy,S2,S2,2,3,1,1,0.0,0,0.99,"Thanks to a new U.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the United States in 2008.",0,1
