llm_name,condition,field,prompt_order_index,completion_rate,correctness_mean,correctness_ci_low,correctness_ci_high
qwen/qwen3-235b-a22b-instruct-2507,multi_focus_epu_first,epu,1,0.995,0.68,0.6416310115811202,0.7160787760539477
qwen/qwen3-235b-a22b-instruct-2507,multi_focus_epu_first,who,2,0.995,0.05,0.03524526778459468,0.07048026312773596
qwen/qwen3-235b-a22b-instruct-2507,multi_focus_epu_first,actions,3,0.995,0.225,0.193397072785709,0.2601018627718264
qwen/qwen3-235b-a22b-instruct-2507,multi_focus_epu_first,effects,4,0.995,0.15166666666666667,0.12518715753167084,0.18257816084120734
qwen/qwen3-235b-a22b-instruct-2507,multi_focus_epu_first,mention_foreign,5,0.995,0.635,0.5957325666291482,0.6725497740971527
qwen/qwen3-235b-a22b-instruct-2507,multi_focus_epu_first,mainly_foreign,6,0.995,0.73,0.6930962642114221,0.7639773533222755
qwen/qwen3-235b-a22b-instruct-2507,multi_focus_epu_last,epu,6,0.9933333333333333,0.6433333333333333,0.6042042277210462,0.6806387513216929
qwen/qwen3-235b-a22b-instruct-2507,multi_focus_epu_last,who,1,0.9933333333333333,0.06666666666666667,0.04933761840939039,0.0895091891358169
qwen/qwen3-235b-a22b-instruct-2507,multi_focus_epu_last,actions,2,0.9933333333333333,0.3333333333333333,0.2967793171946139,0.3720079164766197
qwen/qwen3-235b-a22b-instruct-2507,multi_focus_epu_last,effects,3,0.9933333333333333,0.3,0.2646994532170419,0.33784522718843846
qwen/qwen3-235b-a22b-instruct-2507,multi_focus_epu_last,mention_foreign,4,0.9933333333333333,0.6,0.5602842577964939,0.6384434020007659
qwen/qwen3-235b-a22b-instruct-2507,multi_focus_epu_last,mainly_foreign,5,0.9933333333333333,0.7183333333333334,0.6810403824737422,0.7528483414169419
