llm_name,article_key,gold_epu,disagreement_flag,newspaper,year,single_focus_epu_pred,full_focus_epu_first_epu_pred,full_focus_epu_last_epu_pred,single_focus_focus_excerpt,full_focus_epu_first_focus_excerpt,full_focus_epu_last_focus_excerpt,single_to_last_hurt,first_to_last_hurt
deepseek-ai/deepseek-v3.2,Current_840,1,1,DMNB,1995,1,1,0,uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach,uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach,uncertainty over budget negotiations between President Clinton and Congress could prompt the Fed to take a wait-and-see approach,1,1
deepseek-ai/deepseek-v3.2,Current_814,1,1,MIHB,2006,0,1,0,"Economists say it's uncertain whether Chávez's new model, greatly dependent on high oil prices, is sustainable.","Economists say it's uncertain whether Chávez's new model, greatly dependent on high oil prices, is sustainable.","Economists say it's uncertain whether Chávez's new model, greatly dependent on high oil prices, is sustainable.",0,1
deepseek-ai/deepseek-v3.2,Current_125,1,0,NYT,2001,0,1,0,The gains followed President Bush's calling on Congress to approve $60 billion in tax cuts to buttress the economy.,The gains followed President Bush's calling on Congress to approve $60 billion in tax cuts to buttress the economy.,G-7 Seeks Economic Remedies Treasury Secretary Paul H. O'Neill said the Group of Seven leading industrial nations would explore ways of stimulating their economies when they meet in Washington this weekend.,0,1
deepseek-ai/deepseek-v3.2,Current_892,1,0,LAT,2002,0,1,0,"Having twice failed in recent years to win approval of police bond measures, Los Angeles city leaders face the added challenge this year of overcoming the public discord over Mayor James K. Hahn's decision not to back Police Chief Bernard Parks for another term.",Los Angeles city leaders face the added challenge this year of overcoming the public discord over Mayor James K. Hahn's decision not to back Police Chief Bernard Parks for another term.,"Having twice failed in recent years to win approval of police bond measures, Los Angeles city leaders face the added challenge this year of overcoming the public discord over Mayor James K. Hahn's decision not to back Police Chief Bernard Parks for another term.",0,1
deepseek-ai/deepseek-v3.2,Current_34,1,1,MIHB,1995,1,1,0,"Instead, as each government seeks to shape Hong Kong in its own image, they argue about everything from how much democracy it should have to how it should cleanse its polluted harbor.",they argue about everything from how much democracy it should have to how it should cleanse its polluted harbor,"The end of Hong Kong's 156-year colonial era was always going to be an unnerving experience for its six million people, and they had been counting on China and Britain working together to give them a reassuring hand.",1,1
deepseek-ai/deepseek-v3.2,Current_320,1,0,DMNB,1993,1,0,0,People are more willing to defer needed expenditures in times of economic need and uncertainty,People are more willing to defer needed expenditures in times of economic need and uncertainty.,People are more willing to defer needed expenditures in times of economic need and uncertainty.,1,0
deepseek-ai/deepseek-v3.2,Current_438,0,0,MIHB,2004,1,0,1,"Despite strong economic growth driven by exports, the country faces high unemployment, political uncertainty and deeply rooted corruption.","Despite strong economic growth driven by exports, the country faces high unemployment, political uncertainty and deeply rtoted corruption.",political uncertainty,0,1
deepseek-ai/deepseek-v3.2,Current_414,1,1,DMNB,1997,0,1,0,"But with inflation currently in check, an unexpected rate hike could have shaken unsteady world markets.","The Fed's decision not to act was widely expected among analysts. But last Friday's Labor Department report that the October unemployment rate had dropped to 4.7 percent, the lowest in 24 years, rekindled inflation fears.",new wave of financial uncertainty rippled through Asia and Latin America,0,1
deepseek-ai/deepseek-v3.2,Midcentury_7466,1,0,WSJ,1985,0,1,0,There's still a lot of uncertainty about the possibility of a discount-rate cut,There's still a lot of uncertainty about the possibility of a discount-rate cut,There's still a lot of uncertainty about the possibility of a discount-rate cut,0,1
deepseek-ai/deepseek-v3.2,Current_239,1,0,NYT,2004,0,1,0,new laws and other measures promise to silence the remaining independent press and activist groups that have been vehicles for dissent.,new laws and other measures promise to silence the remaining independent press and activist groups that have been vehicles for dissent.,Zimbabwe's Parliament enacted legislation mandating a two-year prison term for practicing journalism without a license.,0,1
deepseek-ai/deepseek-v3.2,Current_73,1,0,DMNB,2012,0,1,0,But both the economy and political factors kept Frisco from being able to continue to participate.,"""But both the economy and political factors kept Frisco from being able to continue to participate.""",But both the economy and political factors kept Frisco from being able to continue to participate.,0,1
deepseek-ai/deepseek-v3.2,Current_1647,1,0,NYT,1992,0,1,0,We lack any kind of national consensus on how to act.,"""We lack any kind of national consensus on how to act.""","Japanese leaders say this may be a bad time for bold actions, especially costly ones.",0,1
deepseek-ai/deepseek-v3.2,Midcentury_5796,1,1,NYT,2003,0,1,0,the uncertainty over his future was costing him those contracts.,the uncertainty over his future was costing him those contracts.,the uncertainty over his future was costing him those contracts.,0,1
deepseek-ai/deepseek-v3.2,Current_1269,1,0,MIHB,1994,0,1,0,"How bad is Venezuela's economic decline? A leading economist, Gustavo Marquez, predicted in an interview that the economy will shrink by 8 to 10 percent this year.","If ftod shortages develop, as expected, many fear a social explosion that could prompt Venezuela's third coup attempt in three years.","Throughout oil-rich Venezuela, a crisis is pushing people to the brink.",0,1
deepseek-ai/deepseek-v3.2,Midcentury_2628,1,0,NYT,1989,1,0,0,the uncertainty about how private foreign,"But anxieties about the risk of the economic slowdown's turning into a recession will keep pressures on the Fed from the White House, Congress and private business to push interest rates down further.",anxieties about the risk of the economic slowdown's turning into a recession,1,0
deepseek-ai/deepseek-v3.2,Current_1162,1,0,LAT,1993,1,1,0,as market participants anticipated an interest rate cut and other measures to stimulate Japan's economy and shrink the Japanese trade surplus,The dollar gained on the yen as market participants anticipated an interest rate cut and other measures to stimulate Japan's economy and shrink the Japanese trade surplus.,The dollar gained on the yen as market participants anticipated an interest rate cut and other measures to stimulate Japan's economy,1,1
