llm_name,article_key,gold_epu,gold_who,gold_actions,gold_effects,gold_mention_foreign,gold_mainly_foreign,disagreement_flag,newspaper,year,content_len,condition,epu_pred,epu_correct,confidence,focus_excerpt,excerpt_in_target,json_valid,aux_mean,task_completion_count,who_pred,who_correct,who_present,actions_pred,actions_correct,actions_present,effects_pred,effects_correct,effects_present,mention_foreign_pred,mention_foreign_correct,mention_foreign_present,mainly_foreign_pred,mainly_foreign_correct,mainly_foreign_present
google/gemini-3.1-pro-preview,Current_1332,1,1,0,1,1,1,0,LAT,1998,7835,single_focus,1,1.0,0.85,the time may be right for Tokyo to intervene again to support the currency,1,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
google/gemini-3.1-pro-preview,Current_1332,1,1,0,1,1,1,0,LAT,1998,7835,multi_focus_epu_first,1,1.0,0.9,"speculation that economic woes in Venezuela, Mexico and Russia will prompt those countries to pump more oil",1,1,0.2,5,0.0,0.0,1,1.0,0.0,1,0.0,0.0,1,1.0,1.0,1,0.0,0.0,1
google/gemini-3.1-pro-preview,Current_1332,1,1,0,1,1,1,0,LAT,1998,7835,multi_focus_epu_last,1,1.0,0.9,the time may be right for Tokyo to intervene again to support the currency,1,1,0.6,5,1.0,1.0,1,1.0,0.0,1,0.0,0.0,1,1.0,1.0,1,1.0,1.0,1
google/gemini-3.1-pro-preview,Current_910,0,0,0,0,0,0,0,SFC,1998,6713,single_focus,0,1.0,1.0,"But Naumann is uncertain about a second round of expansion, and he thinks that endless enlargement makes no sense",1,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
google/gemini-3.1-pro-preview,Current_910,0,0,0,0,0,0,0,SFC,1998,6713,multi_focus_epu_first,0,1.0,1.0,"But Naumann is uncertain about a second round of expansion, and he thinks that endless enlargement makes no sense",1,1,0.0,5,-1.0,0.0,1,-1.0,0.0,1,-1.0,0.0,1,1.0,0.0,1,1.0,0.0,1
google/gemini-3.1-pro-preview,Current_910,0,0,0,0,0,0,0,SFC,1998,6713,multi_focus_epu_last,0,1.0,1.0,"But Naumann is uncertain about a second round of expansion, and he thinks that endless enlargement makes no sense",1,1,0.6,5,0.0,1.0,1,0.0,1.0,1,0.0,1.0,1,1.0,0.0,1,1.0,0.0,1
google/gemini-3.1-pro-preview,Midcentury_7857,0,0,0,0,1,1,0,NYT,1999,4111,single_focus,0,1.0,0.95,despite continuing uncertainties about Latin America.,0,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
google/gemini-3.1-pro-preview,Midcentury_7857,0,0,0,0,1,1,0,NYT,1999,4111,multi_focus_epu_first,0,1.0,0.9,matching last year's direct foreign investment despite continuing uncertainties about Latin America.,0,1,0.4,5,-1.0,0.0,1,-1.0,0.0,1,-1.0,0.0,1,1.0,1.0,1,1.0,1.0,1
google/gemini-3.1-pro-preview,Midcentury_7857,0,0,0,0,1,1,0,NYT,1999,4111,multi_focus_epu_last,0,1.0,0.95,"Top executives from foreign companies had breakfast today with President Ernesto Zedillo and told him that they planned to spend $10 billion this year on factories and other projects in Mexico, matching last year's direct foreign investment despite c",0,1,1.0,5,0.0,1.0,1,0.0,1.0,1,0.0,1.0,1,1.0,1.0,1,1.0,1.0,1
google/gemini-3.1-pro-preview,Current_411,1,1,1,0,1,1,0,LAT,1993,9813,single_focus,1,1.0,0.95,they are heading home today uncertain whether the Clinton Administration will obtain an agreement with strong enough anti-dumping provisions that they will be able to support it.,1,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
google/gemini-3.1-pro-preview,Current_411,1,1,1,0,1,1,0,LAT,1993,9813,multi_focus_epu_first,1,1.0,0.95,they are heading home today uncertain whether the Clinton Administration will obtain an agreement with strong enough anti-dumping provisions that they will be able to support it.,1,1,0.8,5,1.0,1.0,1,1.0,1.0,1,0.0,1.0,1,1.0,1.0,1,0.0,0.0,1
google/gemini-3.1-pro-preview,Current_411,1,1,1,0,1,1,0,LAT,1993,9813,multi_focus_epu_last,1,1.0,0.95,uncertain whether the Clinton Administration will obtain an agreement with strong enough anti-dumping provisions that they will be able to support it.,1,1,0.6,5,0.0,0.0,1,1.0,1.0,1,0.0,1.0,1,1.0,1.0,1,0.0,0.0,1
google/gemini-3.1-pro-preview,Current_769,1,0,0,1,0,0,0,LAT,2001,11351,single_focus,0,0.0,0.95,"The walkout comes at a delicate time for Hawaii, which is now facing uncertain economic prospects like the rest of the nation.",1,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
google/gemini-3.1-pro-preview,Current_769,1,0,0,1,0,0,0,LAT,2001,11351,multi_focus_epu_first,0,0.0,0.9,"The walkout comes at a delicate time for Hawaii, which is now facing uncertain economic prospects like the rest of the nation.",1,1,0.4,5,-1.0,0.0,1,-1.0,0.0,1,-1.0,0.0,1,0.0,1.0,1,0.0,1.0,1
