llm_name,article_key,gold_epu,disagreement_flag,newspaper,year,content_len,condition,target_section_id,selected_section_id,target_position,n_sections,selected_target_correct,epu_pred,epu_correct,joint_correct,confidence,focus_excerpt,excerpt_in_target,json_valid
qwen/qwen3-235b-a22b-instruct-2507,Current_1373,0,0,MIHB,2006,7085,easy,S2,S2,2,3,1,0.0,1.0,1,0.95,Trying to figure out which disappeared with more finality last week The isniversity of Miami men's basketball team's NCAA Tournament hopes? Or Pokey Reese?,1,1
qwen/qwen3-235b-a22b-instruct-2507,Current_1373,0,0,MIHB,2006,7085,medium,S3,S3,3,5,1,0.0,1.0,1,0.95,NFL owners meeting in Dallas today will vote to ratify or reject a new labor agreement with the players.,1,1
qwen/qwen3-235b-a22b-instruct-2507,Current_1373,0,0,MIHB,2006,7085,hard,S4,S4,5,4,1,1.0,0.0,0,0.95,NFL owners meeting in Dallas today will vote to ratify or reject a new labor agreement with the players.,1,1
qwen/qwen3-235b-a22b-instruct-2507,Current_1373,0,0,MIHB,2006,7085,very_hard,S8,S8,8,8,1,0.0,1.0,1,0.95,"NFL owners meeting in Dallas today will vote to ratify or reject a new labor agreement with the players. Warning: Persons who have read the preceding paragraph concerning revenue sharing, Paul Tagliabue and a rtomful of lawyers are advised to not ope",1,1
qwen/qwen3-235b-a22b-instruct-2507,Current_319,1,1,MIHB,1990,5383,easy,S2,S2,2,3,1,0.0,0.0,0,0.95,A severe recession will have an impact on the cruise industry because vacations are luxury items and in a recession they can be curtailed,1,1
qwen/qwen3-235b-a22b-instruct-2507,Current_319,1,1,MIHB,1990,5383,medium,S3,S3,3,5,1,0.0,0.0,0,0.95,But travel agents who sell tickets for cruise ships say they have never see steeper discounting. Smaller cruise lines say they can clearly see a downturn. And some people familiar with the industry say the impact of a recession would be impossible to,1,1
qwen/qwen3-235b-a22b-instruct-2507,Current_319,1,1,MIHB,1990,5383,hard,S5,S5,5,6,1,0.0,0.0,0,0.95,A severe recession will have an impact on the cruise industry because vacations are luxury items and in a recession they can be curtailed,1,1
qwen/qwen3-235b-a22b-instruct-2507,Current_319,1,1,MIHB,1990,5383,very_hard,S8,S8,8,8,1,0.0,0.0,0,0.95,A severe recession will have an impact on the cruise industry because vacations are luxury items and in a recession they can be curtailed,1,1
qwen/qwen3-235b-a22b-instruct-2507,Current_861,1,0,SFC,2003,15056,easy,S2,S2,2,3,1,0.0,0.0,0,0.95,"In the latest twist, Sen. Barbara Boxer, D-Greenbrae, is caught in the public furor over a tribe's plans to build a Nevada-style casino 6 miles east of Novato on Highway 37 near Sears Point.",1,1
qwen/qwen3-235b-a22b-instruct-2507,Current_861,1,0,SFC,2003,15056,medium,S3,S3,3,5,1,1.0,1.0,1,0.95,"local communities across the state are butting heads with tribes over issues of sovereignty, ethics, regulatory power and Big Money",1,1
qwen/qwen3-235b-a22b-instruct-2507,Current_861,1,0,SFC,2003,15056,hard,S5,S5,5,6,1,0.0,0.0,0,0.95,the Hopland Band of Pomo Indians had vowed to use minimal lighting to preserve the valley's charm,1,1
qwen/qwen3-235b-a22b-instruct-2507,Current_861,1,0,SFC,2003,15056,very_hard,S8,S8,8,8,1,0.0,0.0,0,0.95,a looming backlash against California's latest gold rush: Indian gaming,0,1
qwen/qwen3-235b-a22b-instruct-2507,Current_826,0,1,MIHB,2000,3271,easy,S2,S2,2,3,1,0.0,1.0,1,0.95,"Big Blue gave financial markets the blues Wednesday, when a horribly disappointing earnings report for IBM, combined with a serious inflation scare, knocked stocks cold at the opening bell.",1,1
qwen/qwen3-235b-a22b-instruct-2507,Current_826,0,1,MIHB,2000,3271,medium,S3,S3,3,5,1,0.0,1.0,1,0.95,There is too much uncertainty.,0,1
qwen/qwen3-235b-a22b-instruct-2507,Current_826,0,1,MIHB,2000,3271,hard,S5,S5,5,6,1,0.0,1.0,1,0.95,There is too much uncertainty.,0,1
qwen/qwen3-235b-a22b-instruct-2507,Current_826,0,1,MIHB,2000,3271,very_hard,S8,S8,8,8,1,0.0,1.0,1,0.95,"The company, which in earlier generations was considered an unassailable technology leader, was downgraded by a slew of analysts, who upbraided the company with uncharacteristically tough talk.",1,1
qwen/qwen3-235b-a22b-instruct-2507,Current_836,0,0,MIHB,2003,4294,easy,S2,S2,2,3,1,0.0,1.0,1,0.95,the Confederate flag remains a troublesome issue for national presidential candidates who stump in the state,0,1
qwen/qwen3-235b-a22b-instruct-2507,Current_836,0,0,MIHB,2003,4294,medium,S3,S3,3,5,1,1.0,0.0,0,0.85,"prompting the NAACP to launch an economic and tourism boycott of the state that will host the South's first primary, Feb. 3.",1,1
qwen/qwen3-235b-a22b-instruct-2507,Current_836,0,0,MIHB,2003,4294,hard,S5,S5,5,6,1,1.0,0.0,0,0.95,"prompting the NAACP to launch an economic and tourism boycott of the state that will host the South's first primary, Feb. 3",1,1
qwen/qwen3-235b-a22b-instruct-2507,Current_836,0,0,MIHB,2003,4294,very_hard,S8,S8,8,8,1,0.0,1.0,1,0.95,prompting the NAACP to launch an economic and tourism boycott of the state,1,1
qwen/qwen3-235b-a22b-instruct-2507,Current_1795,0,0,SFC,2008,7887,easy,S2,S2,2,3,1,0.0,1.0,1,0.95,"Thanks to a new is.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the isnited States in 2008.",1,1
qwen/qwen3-235b-a22b-instruct-2507,Current_1795,0,0,SFC,2008,7887,medium,S3,S3,3,5,1,0.0,1.0,1,0.95,"Thanks to a new is.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the isnited States in 2008. Before the change in law, the Patriot Act had barred refugee status for those who had provided ""material support"" to",1,1
qwen/qwen3-235b-a22b-instruct-2507,Current_1795,0,0,SFC,2008,7887,hard,S5,S5,5,6,1,0.0,1.0,1,0.95,"Thanks to a new is.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the isnited States in 2008.",1,1
